Município;Dose;Total Doses Aplicadas;;;
LUÍS ANTÔNIO;1° DOSE;1827;;;
LUÍS ANTÔNIO;2° DOSE;1022;;;
LUIZIÂNIA;1° DOSE;999;;;
LUIZIÂNIA;2° DOSE;508;;;
LUPÉRCIO;1° DOSE;825;;;
LUPÉRCIO;2° DOSE;490;;;
LUTÉCIA;1° DOSE;673;;;
LUTÉCIA;2° DOSE;334;;;
MACATUBA;1° DOSE;2919;;;
MACATUBA;2° DOSE;1687;;;
MACAUBAL;1° DOSE;1973;;;
MACAUBAL;2° DOSE;990;;;
MACEDÔNIA;1° DOSE;1021;;;
MACEDÔNIA;2° DOSE;511;;;
MAGDA;1° DOSE;895;;;
MAGDA;2° DOSE;494;;;
MAIRINQUE;1° DOSE;8325;;;
MAIRINQUE;2° DOSE;3708;;;
MAIRIPORÃ;1° DOSE;13819;;;
MAIRIPORÃ;2° DOSE;7170;;;
MANDURI;1° DOSE;1985;;;
MANDURI;2° DOSE;970;;;
MARABÁ PAULISTA;1° DOSE;806;;;
MARABÁ PAULISTA;2° DOSE;380;;;
MARACAÍ;1° DOSE;2730;;;
MARACAÍ;2° DOSE;1559;;;
MARAPOAMA;1° DOSE;720;;;
MARAPOAMA;2° DOSE;414;;;
MARIÁPOLIS;1° DOSE;832;;;
MARIÁPOLIS;2° DOSE;433;;;
MARÍLIA;1° DOSE;51085;;;
MARÍLIA;2° DOSE;29179;;;
MARINÓPOLIS;1° DOSE;514;;;
MARINÓPOLIS;2° DOSE;296;;;
MARTINÓPOLIS;1° DOSE;5116;;;
MARTINÓPOLIS;2° DOSE;2744;;;
MATÃO;1° DOSE;15567;;;
MATÃO;2° DOSE;8375;;;
MAUÁ;1° DOSE;57249;;;
MAUÁ;2° DOSE;33509;;;
MENDONÇA;1° DOSE;1211;;;
MENDONÇA;2° DOSE;714;;;
MERIDIANO;1° DOSE;981;;;
MERIDIANO;2° DOSE;476;;;
MESÓPOLIS;1° DOSE;542;;;
MESÓPOLIS;2° DOSE;321;;;
MIGUELÓPOLIS;1° DOSE;3449;;;
MIGUELÓPOLIS;2° DOSE;2124;;;
MINEIROS DO TIETÊ;1° DOSE;2360;;;
MINEIROS DO TIETÊ;2° DOSE;1211;;;
MIRA ESTRELA;1° DOSE;868;;;
MIRA ESTRELA;2° DOSE;417;;;
MIRACATU;1° DOSE;3526;;;
MIRACATU;2° DOSE;1930;;;
MIRANDÓPOLIS;1° DOSE;5705;;;
MIRANDÓPOLIS;2° DOSE;3868;;;
MIRANTE DO PARANAPANEMA;1° DOSE;3918;;;
MIRANTE DO PARANAPANEMA;2° DOSE;1795;;;
MIRASSOL;1° DOSE;11897;;;
MIRASSOL;2° DOSE;5951;;;
MIRASSOLÂNDIA;1° DOSE;1054;;;
MIRASSOLÂNDIA;2° DOSE;631;;;
MOCOCA;1° DOSE;15899;;;
MOCOCA;2° DOSE;8201;;;
MOGI DAS CRUZES;1° DOSE;70096;;;
MOGI DAS CRUZES;2° DOSE;38751;;;
MOGI GUAÇU;1° DOSE;24423;;;
MOGI GUAÇU;2° DOSE;14961;;;
MOGI MIRIM;1° DOSE;18492;;;
MOGI MIRIM;2° DOSE;10826;;;
MOMBUCA;1° DOSE;601;;;
MOMBUCA;2° DOSE;380;;;
MONÇÕES;1° DOSE;628;;;
MONÇÕES;2° DOSE;363;;;
MONGAGUÁ;1° DOSE;11282;;;
MONGAGUÁ;2° DOSE;5813;;;
MONTE ALEGRE DO SUL;1° DOSE;1944;;;
MONTE ALEGRE DO SUL;2° DOSE;920;;;
MONTE ALTO;1° DOSE;10780;;;
MONTE ALTO;2° DOSE;5885;;;
MONTE APRAZÍVEL;1° DOSE;5313;;;
MONTE APRAZÍVEL;2° DOSE;2909;;;
MONTE AZUL PAULISTA;1° DOSE;3476;;;
MONTE AZUL PAULISTA;2° DOSE;2005;;;
MONTE CASTELO;1° DOSE;1031;;;
MONTE CASTELO;2° DOSE;572;;;
MONTE MOR;1° DOSE;7992;;;
MONTE MOR;2° DOSE;4014;;;
MONTEIRO LOBATO;1° DOSE;1017;;;
MONTEIRO LOBATO;2° DOSE;468;;;
MORRO AGUDO;1° DOSE;4233;;;
MORRO AGUDO;2° DOSE;2740;;;
MORUNGABA;1° DOSE;2320;;;
MORUNGABA;2° DOSE;1260;;;
MOTUCA;1° DOSE;806;;;
MOTUCA;2° DOSE;454;;;
MURUTINGA DO SUL;1° DOSE;1152;;;
MURUTINGA DO SUL;2° DOSE;670;;;
NANTES;1° DOSE;499;;;
NANTES;2° DOSE;293;;;
NARANDIBA;1° DOSE;906;;;
NARANDIBA;2° DOSE;432;;;
NATIVIDADE DA SERRA;1° DOSE;1528;;;
NATIVIDADE DA SERRA;2° DOSE;861;;;
NAZARÉ PAULISTA;1° DOSE;3515;;;
NAZARÉ PAULISTA;2° DOSE;1676;;;
NEVES PAULISTA;1° DOSE;2448;;;
NEVES PAULISTA;2° DOSE;1453;;;
NHANDEARA;1° DOSE;3107;;;
NHANDEARA;2° DOSE;1649;;;
NIPOÃ;1° DOSE;718;;;
NIPOÃ;2° DOSE;363;;;
NOVA ALIANÇA;1° DOSE;1500;;;
NOVA ALIANÇA;2° DOSE;786;;;
NOVA CAMPINA;1° DOSE;1198;;;
NOVA CAMPINA;2° DOSE;611;;;
NOVA CANAÃ PAULISTA;1° DOSE;595;;;
NOVA CANAÃ PAULISTA;2° DOSE;319;;;
NOVA CASTILHO;1° DOSE;269;;;
NOVA CASTILHO;2° DOSE;170;;;
NOVA EUROPA;1° DOSE;1746;;;
NOVA EUROPA;2° DOSE;911;;;
NOVA GRANADA;1° DOSE;4075;;;
NOVA GRANADA;2° DOSE;2278;;;
NOVA GUATAPORANGA;1° DOSE;625;;;
NOVA GUATAPORANGA;2° DOSE;284;;;
NOVA INDEPENDÊNCIA;1° DOSE;648;;;
NOVA INDEPENDÊNCIA;2° DOSE;342;;;
NOVA LUZITÂNIA;1° DOSE;680;;;
NOVA LUZITÂNIA;2° DOSE;352;;;
NOVA ODESSA;1° DOSE;8670;;;
NOVA ODESSA;2° DOSE;4470;;;
NOVAIS;1° DOSE;667;;;
NOVAIS;2° DOSE;402;;;
NOVO HORIZONTE;1° DOSE;8509;;;
NOVO HORIZONTE;2° DOSE;4769;;;
NUPORANGA;1° DOSE;1455;;;
NUPORANGA;2° DOSE;861;;;
OCAUÇU;1° DOSE;960;;;
OCAUÇU;2° DOSE;517;;;
ÓLEO;1° DOSE;672;;;
ÓLEO;2° DOSE;309;;;
OLÍMPIA;1° DOSE;12149;;;
OLÍMPIA;2° DOSE;6637;;;
ONDA VERDE;1° DOSE;882;;;
ONDA VERDE;2° DOSE;464;;;
ORIENTE;1° DOSE;1422;;;
ORIENTE;2° DOSE;732;;;
ORINDIÚVA;1° DOSE;1010;;;
ORINDIÚVA;2° DOSE;517;;;
ORLÂNDIA;1° DOSE;7860;;;
ORLÂNDIA;2° DOSE;3894;;;
OSASCO;1° DOSE;113555;;;
OSASCO;2° DOSE;55707;;;
OSCAR BRESSANE;1° DOSE;812;;;
OSCAR BRESSANE;2° DOSE;476;;;
OSVALDO CRUZ;1° DOSE;8145;;;
OSVALDO CRUZ;2° DOSE;4596;;;
OURINHOS;1° DOSE;23725;;;
OURINHOS;2° DOSE;13084;;;
OURO VERDE;1° DOSE;1593;;;
OURO VERDE;2° DOSE;996;;;
OUROESTE;1° DOSE;2184;;;
OUROESTE;2° DOSE;1192;;;
PACAEMBU;1° DOSE;2919;;;
PACAEMBU;2° DOSE;1595;;;
PALESTINA;1° DOSE;2548;;;
PALESTINA;2° DOSE;1288;;;
PALMARES PAULISTA;1° DOSE;1303;;;
PALMARES PAULISTA;2° DOSE;688;;;
PALMEIRA D'OESTE;1° DOSE;2620;;;
PALMEIRA D'OESTE;2° DOSE;1440;;;
PALMITAL;1° DOSE;5322;;;
PALMITAL;2° DOSE;2981;;;
PANORAMA;1° DOSE;2769;;;
PANORAMA;2° DOSE;1352;;;
PARAGUAÇU PAULISTA;1° DOSE;8233;;;
PARAGUAÇU PAULISTA;2° DOSE;4285;;;
PARAIBUNA;1° DOSE;3232;;;
PARAIBUNA;2° DOSE;1784;;;
PARAÍSO;1° DOSE;1411;;;
PARAÍSO;2° DOSE;771;;;
PARANAPANEMA;1° DOSE;3027;;;
PARANAPANEMA;2° DOSE;1583;;;
PARANAPUÃ;1° DOSE;945;;;
PARANAPUÃ;2° DOSE;510;;;
PARAPUÃ;1° DOSE;2702;;;
PARAPUÃ;2° DOSE;1417;;;
PARDINHO;1° DOSE;1179;;;
PARDINHO;2° DOSE;696;;;
PARIQUERA-AÇU;1° DOSE;4476;;;
PARIQUERA-AÇU;2° DOSE;2893;;;
PARISI;1° DOSE;691;;;
PARISI;2° DOSE;348;;;
PATROCÍNIO PAULISTA;1° DOSE;2756;;;
PATROCÍNIO PAULISTA;2° DOSE;1451;;;
PAULICÉIA;1° DOSE;1223;;;
PAULICÉIA;2° DOSE;597;;;
PAULÍNIA;1° DOSE;15292;;;
PAULÍNIA;2° DOSE;7786;;;
PAULISTÂNIA;1° DOSE;401;;;
PAULISTÂNIA;2° DOSE;217;;;
PAULO DE FARIA;1° DOSE;1738;;;
PAULO DE FARIA;2° DOSE;1031;;;
PEDERNEIRAS;1° DOSE;7771;;;
PEDERNEIRAS;2° DOSE;4243;;;
PEDRA BELA;1° DOSE;1375;;;
PEDRA BELA;2° DOSE;685;;;
PEDRANÓPOLIS;1° DOSE;755;;;
PEDRANÓPOLIS;2° DOSE;414;;;
PEDREGULHO;1° DOSE;2871;;;
PEDREGULHO;2° DOSE;1684;;;
PEDREIRA;1° DOSE;7941;;;
PEDREIRA;2° DOSE;4354;;;
PEDRINHAS PAULISTA;1° DOSE;739;;;
PEDRINHAS PAULISTA;2° DOSE;411;;;
PEDRO DE TOLEDO;1° DOSE;2031;;;
PEDRO DE TOLEDO;2° DOSE;1160;;;
PENÁPOLIS;1° DOSE;14097;;;
PENÁPOLIS;2° DOSE;8177;;;
PEREIRA BARRETO;1° DOSE;5609;;;
PEREIRA BARRETO;2° DOSE;3166;;;
PEREIRAS;1° DOSE;1529;;;
PEREIRAS;2° DOSE;827;;;
PERUÍBE;1° DOSE;12474;;;
PERUÍBE;2° DOSE;7555;;;
PIACATU;1° DOSE;1252;;;
PIACATU;2° DOSE;697;;;
PIEDADE;1° DOSE;8877;;;
PIEDADE;2° DOSE;5009;;;
PILAR DO SUL;1° DOSE;5599;;;
PILAR DO SUL;2° DOSE;2604;;;
PINDAMONHANGABA;1° DOSE;28191;;;
PINDAMONHANGABA;2° DOSE;14642;;;
PINDORAMA;1° DOSE;3541;;;
PINDORAMA;2° DOSE;2136;;;
PINHALZINHO;1° DOSE;3157;;;
PINHALZINHO;2° DOSE;1759;;;
PIQUEROBI;1° DOSE;863;;;
PIQUEROBI;2° DOSE;605;;;
PIQUETE;1° DOSE;2815;;;
PIQUETE;2° DOSE;1638;;;
PIRACAIA;1° DOSE;4575;;;
PIRACAIA;2° DOSE;2743;;;
PIRACICABA;1° DOSE;70268;;;
PIRACICABA;2° DOSE;44968;;;
PIRAJU;1° DOSE;7006;;;
PIRAJU;2° DOSE;3538;;;
PIRAJUÍ;1° DOSE;4507;;;
PIRAJUÍ;2° DOSE;2469;;;
PIRANGI;1° DOSE;2521;;;
PIRANGI;2° DOSE;1356;;;
PIRAPORA DO BOM JESUS;1° DOSE;2341;;;
PIRAPORA DO BOM JESUS;2° DOSE;1210;;;
PIRAPOZINHO;1° DOSE;4503;;;
PIRAPOZINHO;2° DOSE;2280;;;
PIRASSUNUNGA;1° DOSE;16657;;;
PIRASSUNUNGA;2° DOSE;9087;;;
PIRATININGA;1° DOSE;3162;;;
PIRATININGA;2° DOSE;1704;;;
PITANGUEIRAS;1° DOSE;4930;;;
PITANGUEIRAS;2° DOSE;3254;;;
PLANALTO;1° DOSE;850;;;
PLANALTO;2° DOSE;382;;;
PLATINA;1° DOSE;665;;;
PLATINA;2° DOSE;395;;;
POÁ;1° DOSE;16015;;;
POÁ;2° DOSE;8611;;;
POLONI;1° DOSE;1489;;;
POLONI;2° DOSE;785;;;
POMPÉIA;1° DOSE;5211;;;
POMPÉIA;2° DOSE;2494;;;
PONGAÍ;1° DOSE;937;;;
PONGAÍ;2° DOSE;509;;;
PONTAL;1° DOSE;5032;;;
PONTAL;2° DOSE;2732;;;
PONTALINDA;1° DOSE;745;;;
PONTALINDA;2° DOSE;371;;;
PONTES GESTAL;1° DOSE;650;;;
PONTES GESTAL;2° DOSE;277;;;
POPULINA;1° DOSE;1198;;;
POPULINA;2° DOSE;615;;;
PORANGABA;1° DOSE;2375;;;
PORANGABA;2° DOSE;1293;;;
PORTO FELIZ;1° DOSE;7996;;;
PORTO FELIZ;2° DOSE;4276;;;
PORTO FERREIRA;1° DOSE;10481;;;
PORTO FERREIRA;2° DOSE;5335;;;
POTIM;1° DOSE;2462;;;
POTIM;2° DOSE;1579;;;
POTIRENDABA;1° DOSE;3610;;;
POTIRENDABA;2° DOSE;2179;;;
PRACINHA;1° DOSE;383;;;
PRACINHA;2° DOSE;204;;;
PRADÓPOLIS;1° DOSE;3001;;;
PRADÓPOLIS;2° DOSE;1375;;;
PRAIA GRANDE;1° DOSE;59057;;;
PRAIA GRANDE;2° DOSE;31311;;;
PRATÂNIA;1° DOSE;845;;;
PRATÂNIA;2° DOSE;365;;;
PRESIDENTE ALVES;1° DOSE;867;;;
PRESIDENTE ALVES;2° DOSE;450;;;
PRESIDENTE BERNARDES;1° DOSE;3737;;;
PRESIDENTE BERNARDES;2° DOSE;2224;;;
PRESIDENTE EPITÁCIO;1° DOSE;7910;;;
PRESIDENTE EPITÁCIO;2° DOSE;4028;;;
PRESIDENTE PRUDENTE;1° DOSE;51482;;;
PRESIDENTE PRUDENTE;2° DOSE;31165;;;
PRESIDENTE VENCESLAU;1° DOSE;9113;;;
PRESIDENTE VENCESLAU;2° DOSE;5384;;;
PROMISSÃO;1° DOSE;7358;;;
PROMISSÃO;2° DOSE;4071;;;
QUADRA;1° DOSE;767;;;
QUADRA;2° DOSE;385;;;
QUATÁ;1° DOSE;2480;;;
QUATÁ;2° DOSE;1331;;;
QUEIROZ;1° DOSE;545;;;
QUEIROZ;2° DOSE;301;;;
QUELUZ;1° DOSE;1740;;;
QUELUZ;2° DOSE;1053;;;
QUINTANA;1° DOSE;1464;;;
QUINTANA;2° DOSE;797;;;
RAFARD;1° DOSE;1506;;;
RAFARD;2° DOSE;840;;;
RANCHARIA;1° DOSE;5496;;;
RANCHARIA;2° DOSE;3429;;;
REDENÇÃO DA SERRA;1° DOSE;802;;;
REDENÇÃO DA SERRA;2° DOSE;459;;;
REGENTE FEIJÓ;1° DOSE;4254;;;
REGENTE FEIJÓ;2° DOSE;2053;;;
REGINÓPOLIS;1° DOSE;1472;;;
REGINÓPOLIS;2° DOSE;715;;;
REGISTRO;1° DOSE;10943;;;
REGISTRO;2° DOSE;6336;;;
RESTINGA;1° DOSE;1154;;;
RESTINGA;2° DOSE;560;;;
RIBEIRA;1° DOSE;695;;;
RIBEIRA;2° DOSE;452;;;
RIBEIRÃO BONITO;1° DOSE;2302;;;
RIBEIRÃO BONITO;2° DOSE;1305;;;
RIBEIRÃO BRANCO;1° DOSE;2434;;;
RIBEIRÃO BRANCO;2° DOSE;1249;;;
RIBEIRÃO CORRENTE;1° DOSE;709;;;
RIBEIRÃO CORRENTE;2° DOSE;388;;;
RIBEIRÃO DO SUL;1° DOSE;1100;;;
RIBEIRÃO DO SUL;2° DOSE;555;;;
RIBEIRÃO DOS ÍNDIOS;1° DOSE;623;;;
RIBEIRÃO DOS ÍNDIOS;2° DOSE;420;;;
RIBEIRÃO GRANDE;1° DOSE;1319;;;
RIBEIRÃO GRANDE;2° DOSE;718;;;
RIBEIRÃO PIRES;1° DOSE;20253;;;
RIBEIRÃO PIRES;2° DOSE;11779;;;
RIBEIRÃO PRETO;1° DOSE;128132;;;
RIBEIRÃO PRETO;2° DOSE;76526;;;
RIFAINA;1° DOSE;905;;;
RIFAINA;2° DOSE;435;;;
RINCÃO;1° DOSE;1924;;;
RINCÃO;2° DOSE;1029;;;
RINÓPOLIS;1° DOSE;2355;;;
RINÓPOLIS;2° DOSE;1274;;;
RIO CLARO;1° DOSE;41678;;;
RIO CLARO;2° DOSE;24267;;;
RIO DAS PEDRAS;1° DOSE;4905;;;
RIO DAS PEDRAS;2° DOSE;2629;;;
RIO GRANDE DA SERRA;1° DOSE;5247;;;
RIO GRANDE DA SERRA;2° DOSE;2888;;;
RIOLÂNDIA;1° DOSE;1611;;;
RIOLÂNDIA;2° DOSE;788;;;
RIVERSUL;1° DOSE;1253;;;
RIVERSUL;2° DOSE;637;;;
ROSANA;1° DOSE;4095;;;
ROSANA;2° DOSE;2194;;;
ROSEIRA;1° DOSE;1864;;;
ROSEIRA;2° DOSE;924;;;
RUBIÁCEA;1° DOSE;510;;;
RUBIÁCEA;2° DOSE;324;;;
RUBINÉIA;1° DOSE;789;;;
RUBINÉIA;2° DOSE;457;;;
SABINO;1° DOSE;1350;;;
SABINO;2° DOSE;689;;;
SAGRES;1° DOSE;547;;;
SAGRES;2° DOSE;264;;;
SALES;1° DOSE;1589;;;
SALES;2° DOSE;789;;;
SALES OLIVEIRA;1° DOSE;2030;;;
SALES OLIVEIRA;2° DOSE;1333;;;
SALESÓPOLIS;1° DOSE;3367;;;
SALESÓPOLIS;2° DOSE;1469;;;
SALMOURÃO;1° DOSE;1052;;;
SALMOURÃO;2° DOSE;580;;;
SALTINHO;1° DOSE;1486;;;
SALTINHO;2° DOSE;962;;;
SALTO;1° DOSE;21215;;;
SALTO;2° DOSE;10399;;;
SALTO DE PIRAPORA;1° DOSE;8080;;;
SALTO DE PIRAPORA;2° DOSE;4378;;;
SALTO GRANDE;1° DOSE;1725;;;
SALTO GRANDE;2° DOSE;906;;;
SANDOVALINA;1° DOSE;708;;;
SANDOVALINA;2° DOSE;377;;;
SANTA ADÉLIA;1° DOSE;3299;;;
SANTA ADÉLIA;2° DOSE;1806;;;
SANTA ALBERTINA;1° DOSE;1693;;;
SANTA ALBERTINA;2° DOSE;809;;;
SANTA BÁRBARA D'OESTE;1° DOSE;32531;;;
SANTA BÁRBARA D'OESTE;2° DOSE;15474;;;
SANTA BRANCA;1° DOSE;2683;;;
SANTA BRANCA;2° DOSE;1593;;;
SANTA CLARA D'OESTE;1° DOSE;578;;;
SANTA CLARA D'OESTE;2° DOSE;287;;;
SANTA CRUZ DA CONCEIÇÃO;1° DOSE;1320;;;
SANTA CRUZ DA CONCEIÇÃO;2° DOSE;762;;;
SANTA CRUZ DA ESPERANÇA;1° DOSE;522;;;
SANTA CRUZ DA ESPERANÇA;2° DOSE;243;;;
SANTA CRUZ DAS PALMEIRAS;1° DOSE;5321;;;
SANTA CRUZ DAS PALMEIRAS;2° DOSE;3084;;;
SANTA CRUZ DO RIO PARDO;1° DOSE;10565;;;
SANTA CRUZ DO RIO PARDO;2° DOSE;5677;;;
SANTA ERNESTINA;1° DOSE;857;;;
SANTA ERNESTINA;2° DOSE;419;;;
SANTA FÉ DO SUL;1° DOSE;8781;;;
SANTA FÉ DO SUL;2° DOSE;5295;;;
SANTA GERTRUDES;1° DOSE;3117;;;
SANTA GERTRUDES;2° DOSE;1696;;;
SANTA ISABEL;1° DOSE;9098;;;
SANTA ISABEL;2° DOSE;5074;;;
SANTA LÚCIA;1° DOSE;1355;;;
SANTA LÚCIA;2° DOSE;686;;;
SANTA MARIA DA SERRA;1° DOSE;955;;;
SANTA MARIA DA SERRA;2° DOSE;594;;;
SANTA MERCEDES;1° DOSE;653;;;
SANTA MERCEDES;2° DOSE;376;;;
SANTA RITA DO PASSA QUATRO;1° DOSE;7574;;;
SANTA RITA DO PASSA QUATRO;2° DOSE;4247;;;
SANTA RITA D'OESTE;1° DOSE;783;;;
SANTA RITA D'OESTE;2° DOSE;422;;;
SANTA ROSA DE VITERBO;1° DOSE;5090;;;
SANTA ROSA DE VITERBO;2° DOSE;2789;;;
SANTA SALETE;1° DOSE;511;;;
SANTA SALETE;2° DOSE;294;;;
SANTANA DA PONTE PENSA;1° DOSE;545;;;
SANTANA DA PONTE PENSA;2° DOSE;295;;;
SANTANA DE PARNAÍBA;1° DOSE;18599;;;
SANTANA DE PARNAÍBA;2° DOSE;10082;;;
SANTO ANASTÁCIO;1° DOSE;4143;;;
SANTO ANASTÁCIO;2° DOSE;2686;;;
SANTO ANDRÉ;1° DOSE;133283;;;
SANTO ANDRÉ;2° DOSE;80589;;;
SANTO ANTÔNIO DA ALEGRIA;1° DOSE;1692;;;
SANTO ANTÔNIO DA ALEGRIA;2° DOSE;976;;;
SANTO ANTÔNIO DE POSSE;1° DOSE;3917;;;
SANTO ANTÔNIO DE POSSE;2° DOSE;1961;;;
SANTO ANTÔNIO DO ARACANGUÁ;1° DOSE;1471;;;
SANTO ANTÔNIO DO ARACANGUÁ;2° DOSE;797;;;
SANTO ANTÔNIO DO JARDIM;1° DOSE;1496;;;
SANTO ANTÔNIO DO JARDIM;2° DOSE;749;;;
SANTO ANTÔNIO DO PINHAL;1° DOSE;1254;;;
SANTO ANTÔNIO DO PINHAL;2° DOSE;722;;;
SANTO EXPEDITO;1° DOSE;779;;;
SANTO EXPEDITO;2° DOSE;474;;;
SANTÓPOLIS DO AGUAPEÍ;1° DOSE;839;;;
SANTÓPOLIS DO AGUAPEÍ;2° DOSE;454;;;
SANTOS;1° DOSE;121618;;;
SANTOS;2° DOSE;72769;;;
SÃO BENTO DO SAPUCAÍ;1° DOSE;2393;;;
SÃO BENTO DO SAPUCAÍ;2° DOSE;1354;;;
SÃO BERNARDO DO CAMPO;1° DOSE;146933;;;
SÃO BERNARDO DO CAMPO;2° DOSE;82942;;;
SÃO CAETANO DO SUL;1° DOSE;48405;;;
SÃO CAETANO DO SUL;2° DOSE;28261;;;
SÃO CARLOS;1° DOSE;52800;;;
SÃO CARLOS;2° DOSE;27387;;;
SÃO FRANCISCO;1° DOSE;820;;;
SÃO FRANCISCO;2° DOSE;406;;;
SÃO JOÃO DA BOA VISTA;1° DOSE;22599;;;
SÃO JOÃO DA BOA VISTA;2° DOSE;12928;;;
SÃO JOÃO DAS DUAS PONTES;1° DOSE;479;;;
SÃO JOÃO DAS DUAS PONTES;2° DOSE;336;;;
SÃO JOÃO DE IRACEMA;1° DOSE;468;;;
SÃO JOÃO DE IRACEMA;2° DOSE;272;;;
SÃO JOÃO DO PAU D'ALHO;1° DOSE;681;;;
SÃO JOÃO DO PAU D'ALHO;2° DOSE;392;;;
SÃO JOAQUIM DA BARRA;1° DOSE;9376;;;
SÃO JOAQUIM DA BARRA;2° DOSE;5092;;;
SÃO JOSÉ DA BELA VISTA;1° DOSE;1119;;;
SÃO JOSÉ DA BELA VISTA;2° DOSE;692;;;
SÃO JOSÉ DO BARREIRO;1° DOSE;889;;;
SÃO JOSÉ DO BARREIRO;2° DOSE;508;;;
SÃO JOSÉ DO RIO PARDO;1° DOSE;12822;;;
SÃO JOSÉ DO RIO PARDO;2° DOSE;6198;;;
SÃO JOSÉ DO RIO PRETO;1° DOSE;107018;;;
SÃO JOSÉ DO RIO PRETO;2° DOSE;61721;;;
SÃO JOSÉ DOS CAMPOS;1° DOSE;124952;;;
SÃO JOSÉ DOS CAMPOS;2° DOSE;73042;;;
SÃO LOURENÇO DA SERRA;1° DOSE;2746;;;
SÃO LOURENÇO DA SERRA;2° DOSE;1309;;;
SÃO LUIZ DO PARAITINGA;1° DOSE;2424;;;
SÃO LUIZ DO PARAITINGA;2° DOSE;1231;;;
SÃO MANUEL;1° DOSE;7402;;;
SÃO MANUEL;2° DOSE;3828;;;
SÃO MIGUEL ARCANJO;1° DOSE;5587;;;
SÃO MIGUEL ARCANJO;2° DOSE;2890;;;
SÃO PAULO;1° DOSE;2338041;;;
SÃO PAULO;2° DOSE;1340291;;;
SÃO PEDRO;1° DOSE;7211;;;
SÃO PEDRO;2° DOSE;3836;;;
SÃO PEDRO DO TURVO;1° DOSE;1505;;;
SÃO PEDRO DO TURVO;2° DOSE;947;;;
SÃO ROQUE;1° DOSE;14187;;;
SÃO ROQUE;2° DOSE;7916;;;
SÃO SEBASTIÃO;1° DOSE;13302;;;
SÃO SEBASTIÃO;2° DOSE;7035;;;
SÃO SEBASTIÃO DA GRAMA;1° DOSE;2470;;;
SÃO SEBASTIÃO DA GRAMA;2° DOSE;1224;;;
SÃO SIMÃO;1° DOSE;3095;;;
SÃO SIMÃO;2° DOSE;1664;;;
SÃO VICENTE;1° DOSE;54087;;;
SÃO VICENTE;2° DOSE;29456;;;
SARAPUÍ;1° DOSE;1932;;;
SARAPUÍ;2° DOSE;679;;;
SARUTAIÁ;1° DOSE;840;;;
SARUTAIÁ;2° DOSE;453;;;
SEBASTIANÓPOLIS DO SUL;1° DOSE;861;;;
SEBASTIANÓPOLIS DO SUL;2° DOSE;464;;;
SERRA AZUL;1° DOSE;1705;;;
SERRA AZUL;2° DOSE;1011;;;
SERRA NEGRA;1° DOSE;6758;;;
SERRA NEGRA;2° DOSE;3850;;;
SERRANA;1° DOSE;29777;;;
SERRANA;2° DOSE;18972;;;
SERTÃOZINHO;1° DOSE;19622;;;
SERTÃOZINHO;2° DOSE;11499;;;
SETE BARRAS;1° DOSE;2168;;;
SETE BARRAS;2° DOSE;1229;;;
SEVERÍNIA;1° DOSE;2574;;;
SEVERÍNIA;2° DOSE;1370;;;
SILVEIRAS;1° DOSE;1323;;;
SILVEIRAS;2° DOSE;757;;;
SOCORRO;1° DOSE;9941;;;
SOCORRO;2° DOSE;5221;;;
SOROCABA;1° DOSE;104079;;;
SOROCABA;2° DOSE;57191;;;
SUD MENNUCCI;1° DOSE;1695;;;
SUD MENNUCCI;2° DOSE;959;;;
SUMARÉ;1° DOSE;38185;;;
SUMARÉ;2° DOSE;19838;;;
SUZANÁPOLIS;1° DOSE;777;;;
SUZANÁPOLIS;2° DOSE;435;;;
SUZANO;1° DOSE;40839;;;
SUZANO;2° DOSE;23845;;;
TABAPUÃ;1° DOSE;2753;;;
TABAPUÃ;2° DOSE;1550;;;
TABATINGA;1° DOSE;2509;;;
TABATINGA;2° DOSE;1400;;;
TABOÃO DA SERRA;1° DOSE;41535;;;
TABOÃO DA SERRA;2° DOSE;21751;;;
TACIBA;1° DOSE;1092;;;
TACIBA;2° DOSE;600;;;
TAGUAÍ;1° DOSE;2087;;;
TAGUAÍ;2° DOSE;1107;;;
TAIAÇU;1° DOSE;1301;;;
TAIAÇU;2° DOSE;792;;;
TAIÚVA;1° DOSE;1422;;;
TAIÚVA;2° DOSE;767;;;
TAMBAÚ;1° DOSE;4759;;;
TAMBAÚ;2° DOSE;2495;;;
TANABI;1° DOSE;6100;;;
TANABI;2° DOSE;3219;;;
TAPIRAÍ;1° DOSE;1567;;;
TAPIRAÍ;2° DOSE;710;;;
TAPIRATIBA;1° DOSE;2656;;;
TAPIRATIBA;2° DOSE;1438;;;
TAQUARAL;1° DOSE;629;;;
TAQUARAL;2° DOSE;341;;;
TAQUARITINGA;1° DOSE;11732;;;
TAQUARITINGA;2° DOSE;6907;;;
TAQUARITUBA;1° DOSE;4667;;;
TAQUARITUBA;2° DOSE;2423;;;
TAQUARIVAÍ;1° DOSE;751;;;
TAQUARIVAÍ;2° DOSE;389;;;
TARABAI;1° DOSE;1268;;;
TARABAI;2° DOSE;687;;;
TARUMÃ;1° DOSE;2401;;;
TARUMÃ;2° DOSE;1188;;;
TATUÍ;1° DOSE;22674;;;
TATUÍ;2° DOSE;12049;;;
TAUBATÉ;1° DOSE;56350;;;
TAUBATÉ;2° DOSE;30709;;;
TEJUPÁ;1° DOSE;844;;;
TEJUPÁ;2° DOSE;443;;;
